subject,relation,object
Isabel F. Cruz,educated at,University of Toronto
Toyota Corolla Cross,language of work or name,Japanese
Chen Xiaohong,sex or gender,male
Rosa 'John Cabot',creator,Felicitas Svejda
Shabba-Doo,place of death,Los Angeles
2018 Stanley Cup Finals,head coach,Gerard Gallant
Joseph P. Allen,educated at,University of Virginia
Certified Lover Boy,instance of,album
British Columbia Highway 91A,terminus,Marine Way
Dracophyllum acerosum,endemic to,New Zealand
Irene Baker,educated at,University of Wales
Scania,product or material produced,truck
Asunción,stated in,Paraguay
Beat the Clock,color,color
The Eyeopener,country of origin,Canada
Zanele kaMagwaza-Msibi,educated at,University of Durban-Westville
Jeff Sonhouse,educated at,School of Visual Arts
Carolina Peroni,together with,Michael Chrastecky
Taito Phillip Field,convicted of,corruption
Queen Dangyeong,writing system,Hanja
Clone Drone in the Danger Zone,platform,Xbox One
Mario Chalmers,member of sports team,Indios de Mayagüez
Čaplje,instance of,village
Minna Arve,inferred from,candidate
Kirkmichael,historic county,Banffshire
Asmaa Rhlalou,educated at,University of Perpignan
Anne Kreuzberg,languages spoken written or signed,German
František Tůma,position held,kapellmeister
Order of Prohibited Legitimacy,location,Parma
Othniel Looker,of,Ohio Senate
cycling in New York City,sport,bicycle
Kenneth Victor Young,movement,Washington Color School
2019 Canadian federal election,candidate,Green Party of Canada
Daikichi Irokawa,place of death,Yamanashi Prefecture
Fanny Suenssen,sibling,Alfhilda Mechlenburg
Ewan McGregor,notable work,The Impossible
Mickey Maguire,said to be the same as,Mickey Milkovich
Gallus Anonymus,language of work or name,Polish
Portrait of Mlle. Lange as Danaë,depicts,Abundantia
Jáchym Šíp,languages spoken written or signed,Czech
Honor,parent organization,Huawei
Dead of Night,set in environment,mansion
Paul Stanhope,award received,Toru Takemitsu Composition Award
Yuan Wenqing,participant in,1993 World Wushu Championships
Evis Kushi,cabinet,Rama II Cabinet
Jean-Baptiste Meyer,place of birth,Luxembourg
Mahmood Mosque,located in the administrative territorial entity,Malmö
FIFA 22,sport,association football
Neil Simon,spouse,Diane Lander
Lenore Zann,parliamentary term,43rd Canadian Parliament
Masakatsu Nishikawa (serial killer),sex or gender,male
Rosa 'Captain Samuel Holland',creator,Felicitas Svejda
François Florent,family name,Eichholtzer
problem of evil,studied by,theodicy
friction,symbol represents,normal force
Zander & Labisch,founded by,Siegmund Labisch
Julia Crick,award received,Fellow of the British Academy
Shang-Chi and the Legend of the Ten Rings,place of publication,Hong Kong
Macdonald,different from,McDonald
Tony Bennett,given name,Guy
Johnny chien méchant,instance of,novel
Vinnie Dombroski,member of,Sponge
Ileana D'Cruz,country of citizenship,Portugal
Satoshi Hirayama,languages spoken written or signed,Japanese
Ryan Lee,located in the administrative territorial entity,Texas
Kosovo Relocated Specialist Judicial Institution,instance of,court
Bertha Chatto St George Smith,country of citizenship,Australia
Gudrun Kadereit,language of work or name,German
MadClip,manner of death,accident
ABBA,significant person,Benny Andersson
degree Brix,based on,degree Balling
RTCM SC-104,use,differential GPS
Robert Barnard,employer,University of New England
Voivodeship administrative court,country,Poland
Melvin Van Peebles,languages spoken written or signed,French
Kurt Cobain,notable work,Nevermind
Yorke Almshouses,architect,William Burges
Emil Zschimmer,place of birth,Bad Schmiedeberg
Sarah Dash,member of,Labelle
Carol A. Handwerker,affiliation,Purdue University
Bhumibol Adulyadej,native language,Thai
Sierra Fría,instance of,mountain
Empress Sunjeong,writing system,Hanja
Menudo,replaces,René Farrait
Chubby Checker,given name,Ernest
Alfred Ellis,given name,James
Alfhilda Mechlenburg,sibling,Teckla Juel
7-Eleven,country,Japan
Queen Ansun,of,Joseon
Fenerbahçe SK (multi-sports club),sport,volleyball
Magi Dodd,educated at,Aberystwyth University
Quetta Shura,allegiance,Taliban
Al Jazeera English,headquarters location,Washington D.C.
Thomas Kutschaty,country,Germany
Casualty season 11,set in environment,hospital
Architects,award received,Libera Awards
The Passion of the Christ,character role,Caiaphas
Michael Gove,position held,Minister for Intergovernmental Relations
Amy Ray,sex or gender,genderqueer
Martina Hennen,languages spoken written or signed,German
Queen Munjeong,noble title,queen consort
Anthony Maas,place of birth,Province of Westphalia
Belgian Grand Prix,sport,Formula One
Ria De Simone,mother,Olga Romanelli
Cecilia Wangechi Mwathi,sourcing circumstances,near
Philip Mandie,located in the administrative territorial entity,Victoria
Charles C. Pixley,place of birth,Grants Pass
Jenica Atwin,parliamentary group,Green Party of Canada
Password,color,color
Mexico,language used,English
William Prindle Livery Stable,criterion used,C
The Addams Family,derivative work,Addams Family Values
Forestella,instance of,quartet
Bruce Fleisher,place of death,Palm Beach Gardens
San Jose,capital of,California
Cédric Mansaré,country of citizenship,Guinea
Healing,review score by,Rotten Tomatoes
María Josefa Zapata,languages spoken written or signed,Spanish
2021 Russian legislative election,candidate,United Russia
Simon Clarke,position held,Chief Secretary to the Treasury
Taleeb Noormohamed,parliamentary group,Liberal Party of Canada
British Columbia Highway 1,has part,Kingsway
Girl Distribution Company,founded by,Mike Carroll
My Tears Ricochet,genre,arena rock
Rosine de Chabaud-Latour,languages spoken written or signed,French
William Pitt the Younger,replaced by,Charles James Fox
St Michael's Church,heritage designation,category C listed building
graduate school,different from,Doctoral school
Alexander Isak,languages spoken written or signed,Swedish
Louise Hegermann-Lindencrone,spouse,Johan Hendrik Hegermann-Lindencrone
Paddington 2,set in environment,train
Jellystone!,characters,Yogi Bear
Cynthia Clark Wedel,educated at,George Washington University
Leonor Espinoza,second family name in Spanish name,Carranza
Menudo,has part,Johnny Lozada
María del Carmen Rovira Gaspar,languages spoken written or signed,Spanish
Martin Eichenbaum,member of,Royal Society of Canada
Dieter Kolb,participant in,2002 Winter Olympics
Queen Inseon,country of citizenship,Joseon
Zhuanxu,part of,Three Sovereigns and Five Emperors
Joe Jackson,child,Brandon Jackson
Ballynoe Stone Circle,country,Northern Ireland
Catherine of Alexandria,object has role,St. Catherine
Hamazkayin,country,Beirut
Rita Kersting,languages spoken written or signed,German
Jelly Roll,given name,Jason
Djohari Kahar,languages spoken written or signed,Indonesian
Space Jam,characters,Larry Bird
Source Code,set in environment,train
Fordham station,connecting service,New Haven Line
Shang-Chi and the Legend of the Ten Rings,place of publication,Macau
2021 Canadian federal election,candidate,Conservative Party of Canada
Moran Samuel,country for sport,Israel
Irene Baker,employer,Mills College
Indigenous Australians,instance of,human population
2018 Stanley Cup Finals,head coach,Barry Trotz
Majid Jowhari,parliamentary term,43rd Canadian Parliament
Jacquelyn Reingold,educated at,Ohio University
Caló,subclass of,Spanish
Krzysztof Ciesielski,languages spoken written or signed,Polish
Icera,country,United Kingdom
Éloïc Peyrache,languages spoken written or signed,French
Robert Sharpe,academic degree,Bachelor of Arts
Idol Producer,language of work or name,Chinese
Lord River,located in the administrative territorial entity,West Coast Region
Jorhat Assam,language of work or name,Odia
Dune,distribution format,theatrical release
Portrait of Mlle. Lange as Danaë,color,gold
sand tiger shark,IUCN conservation status,Critically Endangered
Federico Guglielmo,languages spoken written or signed,Italian
Vanilla Fudge,has part,Pete Bremy
Dai Qionghai,place of birth,Shanghai
Kunming Metro,has part,East Coach Station
Mohamed Fadhloun,member of sports team,US Concarneau
2021 Russian legislative election,candidate,Yabloko
Queen Inseon,of,Joseon
Afruz Amighi,has works in the collection,Victoria and Albert Museum
Charlotte Wolff,located in the administrative territorial entity,West Prussia
Roman Anin,award received,Artyom Borovik award
Queen Helen The Queen Mother of Romania,languages spoken written or signed,Italian
The Black Island,characters,Snowy
Treasure Planet,set in environment,outer space
Marlene van Gansewinkel,sports discipline competed in,long jump
Sterling Maddox,place of birth,Bethesda
Soka Gakkai,replaces,Soka Kyoiku Gakkai
Teckla Juel,sibling,Alfhilda Mechlenburg
MOS Burger,language of work or name,English
Zhou Xiaoxuan,significant event,#MeToo movement
BridgeValley Community and Technical College,located in the administrative territorial entity,Montgomery
Menudo,replaced by,René Farrait
Eastern Orthodox Church,different from,Eastern Christian churches
Etobicoke,determination method,census
Siberia,shares border with,Arctic
Jihadism,instance of,term
Willem Nieuwenkamp,languages spoken written or signed,Dutch
Miralem Pjanić,of,Beşiktaş
Cauchy number,symbol represents,bulk modulus
Takao Saito,cause of death,pancreatic cancer
Istrianism,country,Croatia
Český Krumlov,language of work or name,Czech
Ramón Valdés,family name,Castillo
Sardinia,official language,Italian
Ping An Insurance,owned by,Citigroup
The Price Is Right,cast member,George Gray
Vladyslav Zahrebelnyi,country for sport,Ukraine
Munas Dabbur,country of citizenship,Israel
IMPACT Muang Thong Thani,replaces,Muang Thong Thani Sports Complex
Deposed Queen Sin,replaced by,Queen Dangyeong
Richard Steven Horvitz,notable work,Invader Zim
Ankara Metro,has part,AŞTİ
The French Dispatch,cast member,Vincent Macaigne
miHoYo,notable work,Honkai Impact 3rd
Altai people,country,Russia
Girl Distribution Company,headquarters location,Torrance
Asmaa Rhlalou,employer,L'Opinion
United States Armed Forces,instance of,military
Louise Hegermann-Lindencrone,place of death,Copenhagen
Cossack Hetmanate,head of state,Ivan Mazepa
Mustafa Zeki Uğurlu,languages spoken written or signed,Turkish
Olaug Bollestad,replaces,Kjell Ingolf Ropstad
Apollo Global Management,chief executive officer,Marc Rowan
Elshad Mirbashir oghlu,member of political party,New Azerbaijan Party
Ott Lumi,country of citizenship,Estonia
Sherwood Boehlert,given name,Louis
Stephen Barclay,replaces,Michael Gove
Mississippi Suite,publisher,Leo Feist Inc.
Doce tonadillas en estilo antiguo,language of work or name,Spanish
Basque people,native language,French
Clone Drone in the Danger Zone,platform,Nintendo Switch
attempted assassination of Rómulo Betancourt,location,Paseo Los Próceres
Eran Zahavi,country for sport,Israel
Mohamed Salah,country for sport,England
Candyman,set in period,2019
ABBA,uses,Wall of Sound
Broken Circle / Spiral Hill,made from material,vegetation
Miralem Pjanić,member of sports team,Beşiktaş
Carlisle Floyd,family name,Sessions
Georg Philipp Telemann,location,Frankfurt
Amir Al-Ammari,place of birth,Sweden
Maggie Hassan,replaces,Russell Prescott
Usón,located in the administrative territorial entity,Huesca Province
Muhammad Saeed Al-Hakim,religion,Islam
Federigo Zuccari,award received,knight
Bill Thompson,employer,Acorn computers
Korean reunification,country,North Korea
British Columbia Highway 1,has part,Fraser Highway
Tatyana Shatalova,country of citizenship,Russia
David Chung,educated at,University of Virginia
Se piangi se ridi,composer,Bobby Solo
Park Place Gallery,significant person,Forrest Myers
San Sebastián Metro,operator,Euskotren
Queen Ansun,country of citizenship,Joseon
The Link,developer,Groupama
Masterton Ure,electoral district,Weymouth and Melcombe Regis
Mohsin Dawar,of,National Democratic Movement
Janina Hiebel,employer,University of Divinity
Beate Sodeik,affiliation,Hannover Medical School
Tesla Model S,uses,Linux
divorce,follows,legal separation
Penny Mordaunt,position held,Minister of State for Trade
James Webb Space Telescope,applies to jurisdiction,European Space Agency
Neltje Doubleday Kings,languages spoken written or signed,Spanish
information science,instance of,sociology
Portrait of Mlle. Lange as Danaë,object has role,scroll
Daisy Taugelchee,place of death,Farmington
Abdul Rahman Oues,country of citizenship,Syria
Mills College,located in the administrative territorial entity,Oakland
Stella W. Pang,academic degree,Bachelor of Science
Dune,country of origin,United Arab Emirates
Yujiulü Mugulü,country of citizenship,Xianbei
Cars,characters,Lightning McQueen
silk throwing,instance of,industry
Colombia national football team,head coach,Carlos Queiroz
Varanus komodoensis,IUCN conservation status,Endangered
Maria Benktzon,has works in the collection,Cooper Hewitt Smithsonian Design Museum
Nino Castelnuovo,place of death,Rome
Laura Loomer,medical condition,COVID-19
Tori Spelling,family name,McDermott
California,replaces,San Jose
Henda Ducados,languages spoken written or signed,French
Holes,set in environment,desert
Phil Schaap,place of birth,Queens
St Leonard’s-in-the-Fields church,location,Perth
Fanny Suenssen,place of burial,Holmen Cemetery
Nermin Gözükırmızı,field of work,molecular biology
Santa Clara Valley,partially coincident with,Silicon Valley
Sanae Takaichi,language of work or name,Japanese
Queen Mary Hospital Hanmer Springs,instance of,psychiatric hospital
Delk M. Oden,educated at,United States Military Academy
Japanese Instrument of Surrender,represents,Imperial General Headquarters
Daher el-Omar,place of birth,Ottoman Empire
Queen Dangyeong,replaces,Deposed Queen Sin
Out of Shadows,language of work or name,Spanish
Naroa Uriarte,languages spoken written or signed,Spanish
Invasion of Chiquitos,country,Brazil
Susanna Clarke,for work,Piranesi
Lady of the Manor,director,Justin Long
The High and the Mighty,set in environment,aircraft
Karine Deshayes,place of birth,Rueil-Malmaison
Stella W. Pang,educated at,Brown University
Benjamin Page,military rank,lieutenant
ABBA,founded by,Benny Andersson
Cinderella,cast member,Idina Menzel
Tatakae! Osper,country of origin,Japan
Dune,location,Germany
Shang-Chi and the Legend of the Ten Rings,place of publication,Australia
David Chung,has works in the collection,Whitney Museum of American Art
Cinderella,composer,Mychael Danna
UMass Memorial Health Care,subsidiary,Hahnemann Hospital
Alexander Rumpf,place of death,Remscheid
Caio Zanardi,languages spoken written or signed,Portuguese
Yoshihide Suga,for work,2020 Summer Olympics
Euskotren Class 950,subclass of,electric multiple unit
Nasubi,languages spoken written or signed,Japanese
A38 road,located in the administrative territorial entity,Devon
Grana,instance of,business
Mister Rogers' Neighborhood,color,color
The Erawan Group,industry,hospitality industry
Ene Kaups,place of birth,Kärdla
Muhammad Saeed Al-Hakim,place of death,Najaf
National Day Rally,subclass of,speech
Anastasia Vedyakova,country of citizenship,Russia
Nico Wiener,country of citizenship,Austria
Nermin Gözükırmızı,academic degree,professor
Second Call,original broadcaster,TV Globo
Body Brokers,cast member,Alice Englert
Aaqtanit,located in the administrative territorial entity,Sidon District
Poseidon,set in environment,ship
Darko Todorović,country for sport,Bosnia and Herzegovina
The Darjeeling Limited,set in environment,train
Cynthia Clark Wedel,place of death,Alexandria
Philippe Pétain,country of citizenship,Vichy France
Taito Phillip Field,country of citizenship,Samoa
Anuk Arudpragasam,educated at,Columbia University
Garazi Murua,languages spoken written or signed,Spanish
Alfhilda Mechlenburg,sibling,Fanny Suenssen
Detachment,review score by,Rotten Tomatoes
Hospital Playlist,distribution format,television
Hof- og Stadsretten,instance of,court
Douro-Dummer,shares border with,Peterborough
The Green Knight,cast member,Sarita Choudhury
Robert Hallowell Gardiner,place of birth,Bristol
Sabarna Roy Choudhury,instance of,family
Renganaden Seeneevassen,place of death,Port Louis
Martin Gurule,place of detention,Ellis Unit
Universal Music Group,parent organization,Pershing Square Holdings
Lips Don't Lie,instance of,song
Addison Rae,located in the administrative territorial entity,Louisiana
Phi Nhung,country of citizenship,Vietnam
Claudio Saunt,educated at,Columbia University
dance in Ukraine,different from,Ukrainian folk dance
Sakmongkol Sithchuchok,sport,Muay Thai
Jason Tesson,languages spoken written or signed,French
Wild Wild West,set in environment,train
Sierra de Quila,instance of,flora and fauna protection area
Joevin Jones,country for sport,Trinidad and Tobago
Albacore,IUCN conservation status,Least Concern
Benjamin Page,given name,William
The Artful Escape,voice actor,Caroline Kinley
Éric Zemmour,language of work or name,French
idjon djanbi,native language,Indonesian
Crown Princess Gonghoebin,spouse,Crown Prince Sunhoe
Beltline Trail,instance of,bike path
Adnan Menderes,given name,Ali
Levantine Arabic,influenced by,Aramaic
Sir Daniel Cooper 1st Baronet,electoral district,Sydney Hamlets
Mary Simon,family name,May
Anna Christiane Ludvigsen,place of death,Tinglev
Akimi Kawafune,place of birth,Nagano
Powelliphanta patrickensis,endemic to,New Zealand
Sanae Takaichi,member of,Nippon Kaigi
UMass Memorial Health Care,headquarters location,Worcester
Hayv Kahraman,country of citizenship,Sweden
Ankara Metro,has part,Kızılay
Aquilino Duque,second family name in Spanish name,Gimeno
Disney's House of Mouse,characters,Mickey Mouse
Thomas Winkler,member of,Gloryhammer
Spirit,followed by,Curiosity
Roberto Roena,country,Puerto Rico
Nadine Dorries,replaces,Oliver Dowden
Roberto Soldado,member of sports team,Fenerbahçe SK
Saltcoats Countess Street Town House,instance of,building
Mexico,instance of,nation
Royal Tombs of the Joseon Dynasty,located in the administrative territorial entity,Gangwon Province
Christian Petracca,country of citizenship,Australia
Candyman,set in period,1977
Korean reunification,country,South Korea
FAW Group,product or material produced,bus
Healing,stated in,Rotten Tomatoes
Gonzalo Montiel,country for sport,Argentina
Old,set in environment,resort
East Frisia,instance of,peninsula
Nasiruddin Khakwani,of,Aalmi Majlis Tahaffuz Khatm-e-Nubuwwat
Mostaccino,has part,nutmeg
Aubrey de Grey,publisher,Stat
Eleonora Armitage,member of,British Ecological Society
Federigo Zuccari,position held,director
Samuel Rousseau,languages spoken written or signed,French
British Columbia Highway 1,has part,Douglas Street
Gulf Intracoastal Waterway,located in the administrative territorial entity,Florida
The Polar Express,set in environment,train
Frank Pakenham 7th Earl of Longford,position held,Lord Privy Seal
Ludwig Augustinsson,country for sport,Sweden
Brightline,headquarters location,New York City
Clive Sinclair,family name,Marles
Concentration,color,color
Somebody To Love,applies to part,remix
abscissa and ordinate,subclass of,coordinate system
Oihane Hernández,languages spoken written or signed,Spanish
Calibre,family name,Martin
Tina Karol,field of work,music
Song Ui-young,country of citizenship,Singapore
Isabel F. Cruz,doctoral advisor,Alberto O. Mendelzon
Riccardo Drigo,work location,Russia
Christophe Revault,given name,Maurice
The Blood Demon,set in environment,castle
Royal Consort Huibin Jang,replaces,Queen Inhyeon
Sunset and Sunrise,cast member,Salah Zulfikar
Francesca Fialdini,employer,RAI
Lorenz Cantador,languages spoken written or signed,German
Alessandro Del Piero,author,Roberto Beccantini
Ekaterina Makarova,languages spoken written or signed,Russian
The Matrix Resurrections,cast member,Yahya Abdul-Mateen II
Frank G. Smith,place of birth,Marion
James Bradshaw Adamson,academic major,military science
Kirkby Stephen railway station,located in the administrative territorial entity,Wharton
Emil Korytko,place of birth,Zelenyi Hai
Harold Emmerson,given name,Corti
The French Dispatch,cast member,Benjamin Lavernhe
Snowpiercer,set in environment,train
Basque people,native language,Spanish
Legia Warsaw,different from,Legia Warszawa
Syed Ali Shah Geelani,place of death,Hyderpora
Lips Don't Lie,performer,A Boogie wit da Hoodie
rail transport in Bangkok,has part,MRT
Matthias Sammer,language of work or name,German
Mordechai Petcho,family name,Piccio
Skin,instance of,film
James Warde,given name,Prescott
Queen Soheon,family name,Shim
Patricio Manns,place of death,Viña del Mar
Lou Bega,genre,mambo
FotoMagico,developer,Boinx Software
Yoon Mi-rim,native language,Korean
Anne Wyllie,employer,Yale School of Public Health
Juan Antonio Pizzi,place of birth,Santa Fe
Alan Lancaster,instrument,guitar
Muhammad Saeed Al-Hakim,educated at,Hawza of Najaf
Out of Shadows,narrative location,Zimbabwe
Malik Peiris,award received,Future Science Prize
Ankara Metro,has part,Batıkent
Rede Bahia de Televisão,named after,television
Ludwig Augustinsson,languages spoken written or signed,Swedish
Lost Creek State Park,located in or next to body of water,Trail Creek
Vũ Khanh,sex or gender,male
Yuma Mastubara,given name,Yuna
Radu Cantacuzino,mother,Păuna Greceanu-Cantacuzino
exposure value,symbol represents,exposure time
Mr. Shalash’s Family,cast member,Salah Zulfikar
Darwanto,languages spoken written or signed,Indonesian
Schrödinger equation,symbol represents,reduced Planck constant
Dušan Ivković,place of death,Belgrade
Cars,characters,Chick Hicks
Jagatdal,located in the administrative territorial entity,Bhatpara
Ribagorda,located in the administrative territorial entity,Sotorribas
Hi-Tek incident,participant,Vietnamese American
Jolyon Wagg,present in work,The Castafiore Emerald
Gus Johnson,employer,Fox Sports
Martin Rossor,given name,Neil
Marius Marin,country of citizenship,Romania
Glossa,publisher,Open Library of Humanities
Oren Peli,country,Israel
Australia,member of,AUKUS
The French Dispatch,place of publication,2021 Cannes Film Festival
Tadpole Treble,genre,rhythm game
Von Ryan's Express,set in environment,aircraft
Monty Python’s Life of Brian,review score by,Rotten Tomatoes
Sulev Vare,country of citizenship,Estonia
Bohdan Khmelnytskyi,noble title,hetman
Marek Ženíšek,represents,SPOLU
Never Gonna Give You Up,used by,Rickrolling
exocrine pancreatic insufficiency,language of work or name,Odia
Cynthia Clark Wedel,place of birth,Dearborn
Universal Music Group,owned by,Pershing Square Holdings
Taleeb Noormohamed,electoral district,Vancouver Granville
part of locality,country,Poland
The Elder Sister-like One,intended public,seinen
Rudolf Weigl,academic degree,habilitation
Salzburg,language of work or name,German
Denis Alibec,of,CFR Cluj
2018 Stanley Cup Finals,winner,Vegas Golden Knights
Ginny Ruffner,member of,Intertel
Dominic Raab,position held,Secretary of State for Justice
Daniel Mio,place of death,Lille
Se piangi se ridi,performer,The New Christy Minstrels
Lost Creek State Park,located in or next to body of water,Lost Creek Reservoir
Uruguay,language of work or name,Spanish
Henri Cirelli,place of birth,Dudelange
Mikis Theodorakis,native language,Greek
Éloïc Peyrache,educated at,Toulouse School of Economics
Voyage of the Damned,set in environment,ship
Hamiltonian operator,subclass of,energy
Kruhari,instance of,village
Chimes of Freedom,performer,Bruce Springsteen
Master of Science,instance of,postgraduate degree
2021 Moroccan,candidate,Justice and Development Party
Azim Azarov,place of birth,Bishkek
Broken Circle / Spiral Hill,made from material,water
Leslyn Lewis,elected in,2021 Canadian federal election
Enrico Casarosa,notable work,Luca
Roberto Soldado,member of sports team,Granada CF
Uncle Tom,director,Justin Malone
Ukraїner,language of work or name,Turkish
Adnan Abu Walid al-Sahrawi,place of death,Sahel
Respect,character role,John Hammond
Maud Ingersoll Probasco,place of birth,Peoria
Fran Unsworth,place of birth,Stoke-on-Trent
Bandish,country of origin,Pakistan
Elizabeth Anstice Baker,place of birth,Magill
David Taylor,educated at,Pennsylvania State University
William Emmett Murphy,place of birth,Dublin
Suzanne Dellal Center for Dance and Theater,located in the administrative territorial entity,Tel Aviv
tofu,instance of,cuisine
8chan,language of work or name,Russian
John Rigas,given name,James
2021 Canadian federal election,candidate,New Democratic Party
Catherine Hughes,of,Somerville College
Zwinger,has part,Semper Gallery
Chris Anker Sørensen,place of birth,Hammel
Ñāṇavīra Thera,employer,Intelligence Corps
Carlos Moedas,position held,Mayor of Lisbon
Jean-Paul Belmondo,place of death,Paris
amyotrophic lateral sclerosis,language of work or name,Odia
Muslim conquest of Transoxiana,instance of,war
Oliver G. Pike,military branch,Royal Air Force
Rickrolling,uses,Never Gonna Give You Up
Chandamama,language of work or name,Odia
Domitian,Roman cognomen,Sabinus
Grofers,country,India
TSheets,owned by,Intuit
Igor Shklyarevsky,writing language,Russian
Yuan Wenqing,award received,gold medal
Tatakae! Osper,original language of film or TV show,Japanese
Abimael Guzmán,second family name in Spanish name,Reynoso
Arjan Veurink,sport,association football
Menudo,replaced by,Miguel Cancel
Lucy Freeland,spouse,Jaime de Angulo
Laia Sin,country of citizenship,Andorra
Labelle,has part,Sarah Dash
Cristiano Ronaldo,significant person,Lionel Messi
Benjamin Page,military rank,captain
The Other Man,cast member,Salah Zulfikar
Antonia Lloyd-Jones,languages spoken written or signed,Spanish
Empress Myeongseong,languages spoken written or signed,Korean
Super Mario 64,place of publication,Europe
Food Culture & Society,publisher,Routledge
Thomas De Sampayo,place of birth,Colombo
Violet,distributed by,Relativity Media
Queen Hyeondeok,family name,Kwon
Heinrich Neuhaus,country of citizenship,Estonia
Jelly Roll,family name,Deford
Julian Casablancas,member of,The Strokes
Moninya Roughan,educated at,University of New South Wales
Detachment,stated in,Rotten Tomatoes
Abdul Rasyid Kacong,languages spoken written or signed,Indonesian
Maria Benktzon,has works in the collection,Museum of Modern Art
Grey's Anatomy season 17,set in environment,hospital
penal labor,subclass of,imprisonment
Bill Orthwein,member of sports team,Missouri Athletic Club
Last Night in Soho,cast member,Synnøve Karlsen
Federigo Zuccari,languages spoken written or signed,Italian
Ardnamurchan Distillery,location,Lochaber
Yevgeny Zinichev,award received,Hero of the Russian Federation
Homeperseensuo,country,Finland
National Library of Sweden,language of work or name,Swedish
Syed Ali Shah Geelani,award received,Nishan-e-Pakistan
Snakk Media,country,Australia
Christophe Revault,given name,Robert
Park Place Gallery,significant person,Peter Forakis
Thanwa Raseetanu,genre,phleng phuea chiwit
David Ellefson,member of,The Lucid
Ribatajadilla,located in the administrative territorial entity,Sotorribas
Se piangi se ridi,object has role,CO
Daemon X Machina,producer,Kenichiro Tsukuda
Naga people,indigenous to,India
