subject,relation,object
Ron Unz,has written for,The Unz Review
Unicode,has parts of the class,surrogate
Channel Seven Perth Telethon,country of origin,Australia
Runcorn RFC,sport,rugby league
Ken Jennings,participant in,Jeopardy!
Gilberto Grácio,place of death,Lisbon
Homo heidelbergensis,location of discovery,Mauer
Sant'Agata de' Goti,language of work or name,Italian
Gennadi Muravin,languages spoken written or signed,Estonian
Islamic Defence Force of Afghanistan,instance of,army
U.S. Route 27,terminus location,Fort Wayne
Tatsuya Tanikawa,country of citizenship,Japan
Adejoke Tugbiyele,residence,Lagos
Abram Avdalimov,employer,Judeo-Tat theatre
Tom Alexander,place of birth,Takoma Park
Henry Brooks Baker,place of death,Ypsilanti
Ienissei Ramic,languages spoken written or signed,French
Statuette of the lady Tiye,depicts,weaver
Latin script,has parts of the class,Chinese character
USS LST-388,conflict,World War II
Naruto,characters,Minato Namikaze
Denise Holstein,residence,Rouen
Rick Ware Racing,sport,motorsport
The Little House,intended public,child
Aiseki Shokudo,cast member,Chidori
Maxie McFarland,academic degree,Bachelor of Science
Nyrok City,instance of,comic strip
Creditors,form of creative work,play
1999 Liberal Democrats leadership election,candidate,David Rendel
The Resistible Rise of Arturo Ui,form of creative work,play
Mystery Case Files,publisher,Big Fish Games
Mystery Files,cast member,Gallen Lo
Vijay Kumar,residence,Chennai
FouKi,occupation,rapper
New Year's Eve,has quality,firework
Ioan Wetzer,languages spoken written or signed,Romanian
Yeferson Soteldo,country for sport,Venezuela
Rosa 'Canterbury',creator,David C. H. Austin
Sabinianus,military rank,magister militum
Organization of the Petroleum Exporting Countries,member of,Angola
X International Chopin Piano Competition,stage reached,final
Twelve Angry Men,form of creative work,play
Gervais's fruit-eating bat,original combination,Dermanura cinerea
Proteodes clarkei,type locality (biology),Hunter Mountains
plasma oscillation,different from,plasma frequency
Milan Kundera,conferred by,Borut Pahor
Modest Dulić,occupation,politician
Sergey Skolskiy,country for sport,Russia
Eyal Berkovic,country,Israel
U.S. Route 27,terminus location,Miami
Hasan Fehmi Güneş,native language,Turkish
Kingdom of Brycheiniog,language used,Welsh
Michigan eLibrary,maintained by,Library of Michigan
Stephen Rochefontaine,located in the administrative territorial entity,New York
trachoma,possible treatment,antibiotic
1981 Egyptian Open,located in the administrative territorial entity,Cairo
Santosham Best Villain Award,instance of,Santosham Film Awards
An Enemy of the People,form of creative work,play
Guest House,cast member,Afzal Khan
Luigi Chatrian,native language,Italian
Mukeshpuri,located in protected area,Ayubia National Park
Nuʿmān ʿAbd al-Razzāq Sāmarrāʾī,affiliation,Islam
Jong Batak Bond,instance of,organization
Wolverine,enemy of,Lady Deathstrike
Hradec Králové,lowest point,Elbe
European Digital Rights,board member,Andy Müller-Maguhn
Lee Ungno Museum,country,South Korea
Southern People Weekly,headquarters location,Guangzhou
Denise Stefanie,place of birth,Baja California
Jack Whiting,place of death,New York City
Manna,tracklist,If
Dessert Games,cast member,Duff Goldman
George Rawle,place of birth,North Melbourne
Rudolph M. Clay,work location,Gary
Ettore Licheri,native language,Italian
Naruto,characters,Iruka Umino
High Court of Justiciary,work location,Lanark
Common Sandpiper,original combination,Tringa hypoleucos
Adejoke Tugbiyele,has works in the collection,Brooklyn Museum
Icon of the Mother of God and Infant Christ (Virgin Eleousa),made from material,tempera
Last Night in Soho,main subject,prostitution
Falstaff's Wedding,form of creative work,play
Fernando Verdasco,child,1
Dhanusha District,language of work or name,Nepali
José Antonio Kast,academic major,law
Phormio,form of creative work,play
Look Back in Anger,form of creative work,play
Sky Classic,use,racehorse
Ivo of Chartres,consecrator,Urban II
Simon Kofe,of,Tuvalu
Marie-Claire Blais,place of death,Key West
Oranges Are Not the Only Fruit,cast member,Charlotte Coleman
Nissan VQ engine,engine configuration,V6
Wolverine,enemy of,Sabretooth
Mount Macedon,named after,Macedonia
Eddie Jordan,native language,Irish
Ezekiel,significant event,vision
Triangle of U,instance of,theory
My Child: Lebensborn,operating system,iOS
Petra Wend,occupation,academic
Holger Mitterer,languages spoken written or signed,German
William E. Potts,academic degree,Associate of Arts
Mayenne,direction relative to location,north
NYSE Arca,parent organization,New York Stock Exchange
Nuʿmān ʿAbd al-Razzāq Sāmarrāʾī,place of birth,Samarra
Carolyn Walker-Diallo,academic degree,Juris Doctor
Gennadi Muravin,languages spoken written or signed,Russian
Alana Alexander,employer,University of Otago
Rigveda,collection creator,Paila
Irán Eory,family name,Sidi
Eliot Engel,academic major,history
Royal Antediluvian Order of Buffaloes,founded by,Joseph Lisle
Maxie McFarland,academic degree,Master of Education
Wang Dazhong,occupation,engineer
Brie Bella,child,2
Nico Rosso,child,Gianluigi Rosso
Chris & John to the Rescue!,cast member,Chris Carter
Leon Shenandoah,sourcing circumstances,near
pacifism,subclass of,nonviolence
Melissa J. Moore,place of birth,New Market
Timothy Field Allen,place of death,New York City
James Ward,interested in,philosophy
The Derelict,form of creative work,short story
Tai Tham,has parts of the class,Unicode character
Adejoke Tugbiyele,educated at,Maryland Institute College of Art
James Rodríguez,award received,Portuguese Golden Ball
Elizabeth Weaver,sourcing circumstances,before
cinema of West Bengal,subclass of,cinema of India
literature of Al-Andalus,part of,Arabic literature
William Stebbins Barnard,employer,Cornell University
Steve Ellner,field of work,Latin America
Ann E. Blandford,educated at,The Open University
The Doctor,home world,Gallifrey
Chuanqiandian Cluster Miao,writing system,Nyiakeng Puachue Hmong
Kindred of the East,expansion of,Vampire: The Masquerade
Haiku Society of America,founded by,Harold Gould Henderson
Gulsaira Momunova,place of death,Bishkek
New Year's Eve,subclass of,holiday
David Graeber,spouse,Nika Dubrovsky
William Petit Trowbridge,place of burial,Evergreen Cemetery
Tomer Hemed,country for sport,Israel
Dora María Téllez,country,Nicaragua
Pedro Nolasco da Silva,occupation,writer
The Big Match,cast member,Jimmy Hill
Inge Hvid-Møller,place of birth,Copenhagen
Eric Wood,award received,Robert E. Horton Medal
Julia Louis-Dreyfus,sibling,Lauren Bowles
Living It Up,cast member,Arthur Askey
Namdev Kamble,occupation,writer
(±)-salsoline,subclass of,isoquinoline alkaloid
Luísa Sonza,first family name in Portuguese name,Gerloff
Zhang Guangjun (born 1965),occupation,engineer
Escanaba,of,Delta County
John Luxton,electoral district,Matamata
Reet Petite,composer,Berry Gordy
No Time Like Show Time,intended public,child
Qaisuddin,educated at,University of Dhaka
Monsters University,characters,Mike Wazowski
Valley Forge,form of creative work,play
Heliostibes vibratrix,type locality (biology),Mount Arthur
Brighouse Rangers RFC,sport,rugby league
The Marriage of Maria Braun,language of work or name,German
Pontifical Swiss Guard,language of work or name,German
Feasting on Asphalt,cast member,Alton Brown
Tor Eckhoff,manner of death,accident
I Pity the Fool,cast member,Mr. T
Michael Laughlin,cause of death,COVID-19
Falmouth Municipal Buildings,historic county,Cornwall
Hugh K. Leatherman Sr.,place of death,Florence
Margaret Sibella Brown,place of burial,Sydney Mines
Qaisuddin,place of death,Rajshahi
Stockport RFC,sport,rugby league
Zegrze Reservoir Monster,creator,Wojciech Mazurkiewicz
overtime,language of work or name,French
The Winter's Tale,form of creative work,play
Ernst te Peerdt,student of,Ludwig Knaus
Zuhair Ramadan,cause of death,pneumonitis
The Black Power Mixtape 1967-1975,review score by,Rotten Tomatoes
1980 Lacoste Cup,surface played on,carpet court
Bobby Decordova-Reid,country for sport,Jamaica
Barrow Raiders,league,Championship
Next Digital,industry,Media
Maxie McFarland,academic major,strategy
Never Gonna Give You Up,composer,Mike Stock
George Albee,educated at,Bethany College
Lisa Mosconi,occupation,neuroscientist
Niamh Shaw,country of citizenship,Ireland
Fela Kuti,member of political party,Movement of the People
J.R. Carpenter,for work,The Gathering Cloud
Ben Higgins,unmarried partner,Jessica Clarke
Organization of the Petroleum Exporting Countries,member of,Algeria
Taís Araújo,located in the administrative territorial entity,Rio de Janeiro
Gela Charkviani,place of birth,Tbilisi
Carcharhinus amblyrhynchoides,original combination,Gillisqualus amblyrhynchoides
Banatska Palanka,determination method,census
Selenotoca multifasciata,original combination,Scatophagus multifasciatus
Francis Wang Xue-ming,consecrator,Louis Morel
New Year's Eve,has quality,countdown
D.Gray-man,published in,Weekly Shōnen Jump
Much Ado About Nothing,form of creative work,play
Opercularia apiciflora,endemic to,Western Australia
Line Music,language of work or name,Thai
Hans Herrmann,student of,Otto Knille
Proteodes profunda,type locality (biology),Mount Holdsworth
Conference of European Churches,secretary general,Jørgen Skov Sørensen
Samai Distillery,country,Cambodia
Richard Ransom,educated at,DeVilbiss High School
87 Clockers,intended public,seinen
Pontifical Swiss Guard,language of work or name,French
Adejoke Tugbiyele,educated at,New Jersey Institute of Technology
Sandor Zicherman,language of work or name,Russian
Captain Logan,relative,Peteusha
Slide Hampton,place of death,Orange
Organization of the Petroleum Exporting Countries,member of,Libya
Nikita Ridgeway,occupation,graphic designer
Fanny Perry,spouse,Charles Perry
throat singing,facet of,overtone singing
DZIQ,country,Philippines
Samuel Levi Jones,place of birth,Marion
St. Catharines Falcons,award received,Sutherland Cup
Alexandra Botez,part of,BotezLive
The Moody Blues,object has role,singer
Nanette Carter,award received,Anonymous Was A Woman Award
Persab Brebes,country,Indonesia
Kumamoto Band,country,Japan
Tomasz Muchiński,languages spoken written or signed,Polish
Kwon Jung-dong,native language,Korean
Cyrus Hall McCormick II,place of burial,Graceland Cemetery
John J. Sullivan,has quality,acting
Naruto,characters,Nagato
Bernard Bosanquet,interested in,philosophy
The Elephant Calf,form of creative work,play
NCH Corporation,instance of,business
Quiché,native language,Spanish
Ron Unz,candidacy in election,1994 California gubernatorial election
Pratibha Singh,replaces,Virbhadra Singh
Olive Stone,field of work,sociology
Hamilton–Jacobi equation,symbol represents,generalized coordinate
2021 New Jersey gubernatorial election,candidate,Jack Ciattarelli
TOA Technologies,parent organization,Oracle
Madama Butterfly,genre,opera
Upper Silesia,language used,Polish
ESPNU Inside the Polls,cast member,Mike Hall
U.S. Route 27,located in the administrative territorial entity,Tennessee
Oscar Dana Allen,place of birth,Hebron
Roman Abramovich,country,Russia
Eskander Bhouri,sport,basketball
87 Clockers,author,Tomoko Ninomiya
William E. Potts,academic degree,Master of Arts
Eternals,EIRIN film rating,G
Maxie McFarland,academic degree,Master of Arts
Eric Wood,member of,American Geophysical Union
Democratic Majority For Israel,instance of,organization
Organization of the Petroleum Exporting Countries,member of,Republic of the Congo
Antonio's Revenge,form of creative work,play
1973 Fidelity Tournament,location,Richmond Coliseum
Fiona Crombie,educated at,National Institute of Dramatic Art
Child's Play,author,Robert Marasco
Executive Council of Ontario,instance of,cabinet
The Forsyte Saga,cast member,Damian Lewis
Norwegian Association for Women's Rights,member of,International Alliance of Women
Bermuda blue angelfish,original combination,Holacanthus ciliaris bermudensis
Nové Město na Moravě,language of work or name,Czech
Kessler,cast member,Clifford Rose
Julie L. Green,place of death,Corvallis
Troilus and Cressida,form of creative work,play
Robert-Philippe Dollfus,languages spoken written or signed,French
d'Alembert operator,symbol represents,speed of light
Salle des Sports,located in the administrative territorial entity,Bourg-en-Bresse
Loo,language of work or name,Nepali
Makiko Mori,place of birth,Sakata
Zapyrastra calliphana,host,Muehlenbeckia australis
The Terror from the Depths,author,Fritz Leiber
Peter V. Deuster,sibling,Joseph Deuster
Pamela Snow,educated at,Monash University
headache,language of work or name,Isu
Darbar,review score by,Rotten Tomatoes
Danton's Death,form of creative work,play
A Satire of the Three Estates,form of creative work,play
Marvin Powell,academic major,political science
Billava necropolis,country,Azerbaijan
USS LST-225,conflict,World War II
Stewart-Anderson House,criterion used,B
The Draft Horse,part of the series,Merrie Melodies
Isère,language of work or name,French
Marvin Powell,academic major,speech
Virgil Abloh,employer,Louis Vuitton
Maxie McFarland,given name,Lawrence
European Digital Rights,field of work,freedom of speech
Shahar Bachtiar Piven,country for sport,Israel
Nikolay Kuznetsov,employer,University of Jyväskylä
Vasile Adamescu,place of birth,Borcea
European Digital Rights,board member,Meryem Marzouki
Wen-Ying Tsai,collection creator,Museum of Modern Art
John Mayer,unmarried partner,Taylor Swift
Joseph Henry Allen,father,Joseph Allen
Rango,cast member,Tim Conway
You Should Have Left,cast member,Kevin Bacon
Rigveda,given name,Vasishtha
Henri Hinrichsen,child,Max Hinrichsen
Dune 2000,follows,Dune II
Tomas Pousette,occupation,economist
Eternals,RTC film rating,B
Altair Engineering,stock exchange,NASDAQ
Jeff Dessner,sport,ice hockey
Paul Rudd,residence,New Jersey
Junshi,country,Japan
European Digital Rights,field of work,privacy
Mogo,armament,power ring
Passion Play,author,Peter Nichols
Elisha,position held,prophet
USS LST-69,conflict,World War II
Journeyman,review score by,Rotten Tomatoes
Ride Your Wave,Kijkwijzer rating,AL
Rigveda,given name,Vishvamitra
Charles W. Thomas,place of birth,Norfolk
European Digital Rights,field of work,net neutrality
Adalbert Hrehuss,languages spoken written or signed,Romanian
Keith De Lacy,electoral district,Cairns
Miloš Zeman,medical condition,COVID-19
Örebro Municipality,gave up territory to,Lekeberg Municipality
Battlefield Earth,set in period,3000
David Clopton,place of burial,Oakwood Cemetery
Graeme Edge,place of death,Sarasota
Alexander Bereznyak,subject has role,chief designer
Aghios Epiktitos Vrysi,instance of,archaeological site
Sagwa the Chinese Siamese Cat,voice actor,Holly Gauthier-Frankel
Winter Break,director,Marni Banack
Detective Investigation Files II,cast member,Michael Tao
C A Bhavani Devi,award received,Arjuna Award
Vincent Viola,academic degree,Juris Doctor
The French Dispatch,distribution format,theatrical release
Paul Ginsparg,of,arXiv
Francesco Da Gioz,military rank,commander
Blacksod Lighthouse,operator,Commissioners of Irish Lights
BIJ1,separated from,DENK
Metamorphoses,form of creative work,poem
J.R. Carpenter,nominated for,New Media Writing Prize
Maurie Reeves,given name,Maurice
Bagas Maulana,languages spoken written or signed,Indonesian
Space Top 10 Countdown,cast member,Kim Poirier
Corinna Shattuck,significant person,Fannie Perkins Shepard
Kateryna Kryva,sport,karate
Naruto,characters,Orochimaru
Norris Lake,located in the administrative territorial entity,Tennessee
Jimmy Page,unmarried partner,Scarlett Sabet
Anna Tarwacka,interested in,Roman law
Dragon 2,depicts,Crew Dragon
Last Night in Soho,main subject,show business
Sandor Zicherman,languages spoken written or signed,Russian
Jessica Hagedorn,notable work,Dogeaters
The Country Wife,form of creative work,play
Mikheil Saakashvili,native language,Georgian
Special Forces Command,conflict,Operation Euphrates Shield
Raphael Warnock,intended public,Georgia
Daniel Romualdez,family name,Romuáldez
Khadga Man Singh,occupation,politician
Zuzu-Vető,has part,János Vető
Hierodoris torrida,type locality (biology),Riccarton Bush
Maryam Modjaz,country of citizenship,Germany
Buta,subclass of,motif
Starship,sourcing circumstances,before
Church of Our Lady of the Conception of Comandaroba,founded by,Society of Jesus
Snail Mail,notable work,Valentine
USS LST-274,operator,United States Navy
Dorothy Harriette Dunckley,country of citizenship,Australia
Girls of Enghelab,country,Iran
Sa Re Ga Ma Pa Challenge 2005,cast member,Ismail Darbar
Marhu Teferi,place of birth,Ethiopia
Ohio,direction relative to location,west
Tor Eckhoff,occupation,YouTuber
The Simpsons Movie,characters,Krusty the Clown
headache,language of work or name,Nso
Yasumaro Kiguchi,country of citizenship,Japan
Walid Badir,country,Israel
Eternals,narrative location,South Dakota
Aqua-Aston Hospitality,parent organization,Marriott Vacations Worldwide Corporation
Maria Höfl-Riesch,relative,Wolfgang Zimmerer
James Kitson,occupation,cricketer
Loo,narrative location,Banke District
inosinic acid,inferred from,purine nucleotides
West Side Story,character role,Maria
1990 Danone Hardcourt Championships,part of,1990 WTA Tour
Magic Camp,Kijkwijzer rating,AL
Josephine Baker,location,Paris
Rohana Kudus,award received,National Hero of Indonesia
Ritz-Carlton,parent organization,Marriott
Miankai,country of citizenship,Qing dynasty
Jacques Pimpaneau,educated at,Peking University
Ilse Häfner-Mode,languages spoken written or signed,German
Tom Hiddleston,unmarried partner,Susannah Fielding
Kambiz Derambakhsh,place of death,Tehran
Cristian Castro,medical condition,autism
Bert Beard,country of citizenship,Australia
Donna Merwick,place of death,Melbourne
Manuel Neri,place of death,Sacramento
Masud Gharahkhani,replaces,Eva Kristin Hansen
Maxie McFarland,academic major,counseling
Philip Coppens,interested in,crystallography
Delia Bacon,father,David Bacon
Alicia Barnett,place of birth,United Kingdom
pornography,practiced by,pornographer
Sticks,author,Karl Edward Wagner
Yunomae Line,operator,Kumagawa Railway
Farmen 2017 (Norway),winner,Halvor Sveen
Salvador Dalí,collection creator,Museum of Modern Art
Proteodes,taxon author,Edward Meyrick
Old Dominion Freight Line,location of formation,Richmond
Ferdinand Peck,place of burial,Rosehill Cemetery
Gasta Takalar,country,Indonesia
Dune,RTC film rating,B
Oleksandr Gordiienko,occupation,judoka
Emilia Schneider,of,University of Chile Student Federation
Eyal Berkovic,country for sport,Israel
Tor Eckhoff,stated in,YouTube
Cecilia Lonning-Skovgaard,position held,mayor
quotation marks,depicted by,“
Ricardo Wellbach,country of citizenship,Argentina
George J. Walker,place of birth,Rome
Death,uses,Binky
TotalEnergies,language of work or name,French
South African Wars,has part,Anglo-Zulu War
Phirphire,author,Buddhi Sagar
Coaltar,located in the administrative territorial entity,Ayensuano District
Donna Merwick,occupation,historian
Bruno Vella,native language,Italian
set,symbol represents,element
overfitting,opposite of,underfitting
York City Knights,home venue,York Community Stadium
Dəmyələr necropolis,country,Azerbaijan
Young Dolph,place of death,Memphis
USS LST-69,operator,United States Navy
Transrapid,instance of,train
Live Baby Live,country of origin,United Kingdom
Francisco Javier Balmaseda,occupation,writer
Pamela Snow,field of work,language
Vic Naismith,given name,Henry
jury trial,uses,jury instructions
Jung Hee-tae,native language,Korean
Hradec Králové,highest point,Slatina
Hierodoris extensilis,type locality (biology),Mount Titiroa
Paul Rudd,residence,Rhinebeck
Zuzu-Vető,inferred from,János Vető
Kirsten Dunst,sibling,1
Nethercote,historic county,Northamptonshire
B,terminus,145th Street
Mazie Hirono,native language,Japanese
Steuben House,stated in,National Register of Historic Places
Loch Glascarnoch,instance of,dam
Alana Alexander,award received,Rutherford Discovery Fellowship
Nir Bitton,country,Israel
Yuen Yuet Leng,occupation,police officer
Robert Christison,place of birth,Foulden
Don't You Want Me,composer,Jo Callis
Ezekiel,of,Islam
Joo Ye-rim,family name,Ju
USS LST-282,conflict,World War II
Nathan Peabody Ames,occupation,manufacturer
Naruto,characters,Sai
Nauka,country of origin,Russia
Iris West II,present in work,The Flash
Second siege of Callao,located in the administrative territorial entity,Ate
Butterfly,tracklist,My All
Captain Logan,kinship to subject,cousin
Ağbulaq necropolis,country,Azerbaijan
Niane Sivongxay,sex or gender,male
American Psychological Association,field of work,psychology
The End of Loneliness,author,Benedict Wells
USS LST-179,operator,United States Navy
Economic Times Awards,country,India
Speer Goes to Hollywood,place of publication,Germany
Budiman Sudjatmiko,language of work or name,Indonesian
Erinna Lee,employer,Olivia Newton-John Cancer Research Institute
Paul Rudd,country,Kansas
Alexandria,applies to part,land
Gokenin Zankurō,cast member,Ken Watanabe
Town Hall Theatre Portadown,heritage designation,Grade B1 listed building
Sanada Taiheiki,author,Shōtarō Ikenami
Dragon,powered by,Draco
Stephen Rochefontaine,military branch,United States Army
Rodolfo Zalla,place of death,São Paulo
Tokyo,direction relative to location,west
Maximinus Daza,Roman nomen gentilicium,Galerius
Josephine Baker,applies to part,cenotaph
USS LST-282,operator,United States Navy
Soundarya Rajinikanth,owner of,Hoote
Aaron Feuerstein,place of death,Boston
Sam,cast member,Mark McManus
Kaho Nakayama,sexual orientation,lesbianism
salary cap,language of work or name,French
Ebenezer Bailey,place of birth,West Newbury
Mogo,present in work,Green Lantern
Volkerak,inflows,Hollands Diep
Richard Friberg,position held,docent
J.R. Carpenter,notable work,The Gathering Cloud
Hierodoris frigida,taxon synonym,Taoscelis crocostoma
2006 Liberal Democrats leadership election,candidate,Simon Hughes
La damnation de Faust,genre,opera
Eiji,instance of,manga series
Madhabi,author,Madan Mani Dixit
Leon Shenandoah,place of death,Syracuse
Jill W. Smith,educated at,New York Law School
Jacob T. Schwartz,academic major,mathematics
Taiwan under Japanese rule,official religion,Shinto
Statuette of the lady Tiye,owned by,Dikran Kelekian
Nico Rosso,spouse,Tina Billi
Imelda Marcos,second family name in Spanish name,Trinidad
Yoon Seok-youl,writing system,Hanja
Qaisuddin,educated at,Rajshahi University
John Lee Tae-seok,languages spoken written or signed,Korean
Samuel Levi Jones,educated at,Mills College
Distant Shores,cast member,Peter Davison
Kjersti Løken Stavrum,place of birth,Sarpsborg
Bernhard Hertz,place of birth,Copenhagen
Samai Distillery,location,Phnom Penh
Józef Maria Bocheński,language of work or name,Polish
High Court of Justiciary,work location,Paisley
Jim Lester,place of birth,Nottingham
2021 United Nations Climate Change Conference,has effect,Glasgow Climate Pact
Guilford Dudley Bailey,place of birth,Martinsburg
National Collection of Aerial Photography,located in the administrative territorial entity,Scotland
Berlin Rom Tokio,instance of,magazine
Oleksandr Gordiienko,sport,judo
Luiz Sá,notable work,Reco-Reco Bolão and Azeitona
Wilbur F. Storey,place of burial,Rosehill Cemetery
Unity Technologies,subsidiary,WetaFX
Milk shark,original combination,Carcharias acutus
P. J. Rhodes,place of death,Durham
Termux,platform,Android
U.S. Route 27,located in the administrative territorial entity,Florida
Aaron Feuerstein,place of birth,Boston
Carol Tavris,spouse,Ronan O'Casey
Louis Linck,has works in the collection,Smithsonian American Art Museum
Green Balloon Club,cast member,Jake Pratt
Riccardo Boglione,educated at,University of Pennsylvania
Beth,lyrics by,Peter Criss
Icon of the Mother of God and Infant Christ (Virgin Eleousa),movement,Cretan School
Rusyns,religion,Greek catholic church
Hélène de Fougerolles,family name,Rigoine de Fougerolles
Hiroichi Sakai,writing language,Japanese
Eric Wood,award received,Jule G. Charney Award
Richard Semmel,languages spoken written or signed,German
Simone Zanoni,languages spoken written or signed,Italian
John Lee Tae-seok,native language,Korean
William Clayton,author,Come Come Ye Saints
The Chicago Teddy Bears,cast member,Ann Sothern
Gennadi Muravin,country of citizenship,Estonia
George Izard,located in the administrative territorial entity,Arkansas Territory
Angelo Antonio Rizzuto,has works in the collection,Library of Congress
IK Virgo,country,Sweden
Keio Academy of New York,chairperson,Ralph Townsend
Michael Corballis,mother,Alice Elizabeth Harris
Jacques Pimpaneau,academic major,Chinese
Catherine Cortez Masto,intended public,Nevada
Məhəmməd Türkmən,occupation,journalist
2021 United Nations Climate Change Conference,main regulatory text,Paris Agreement
Yu Hoshide,languages spoken written or signed,Japanese
Qingnian Wenzhai,language of work or name,Chinese
Olearia exiguifolia,endemic to,Western Australia
Metrobus Panama,located in the administrative territorial entity,Panama City
Tanjiro Kamado,sibling,Nezuko Kamado
